gapdh actb il8 il6 ccl11 col1a1 nanog sox9 eef2 spp1 runx1 pdl1
534 999 2 56 5 233 3 12 550 17 1 7
523 1097 5 66 9 625 2 29 811 23 0 14
508 960 7 62 4 487 1 41 881 85 1 9
340 624 6 66 7 83 0 12 389 14 0 1
898 1618 31 132 18 424 2 64 826 42 1 10
1021 1858 5 120 12 515 3 45 759 30 2 6
761 589 12 72 2 490 2 143 614 12 1 2
813 1243 6 90 10 215 1 29 575 7 1 7
606 899 5 70 8 433 1 26 630 20 2 9
714 1284 6 115 2 145 2 13 559 10 0 2
494 758 6 62 4 415 3 31 592 26 0 10
914 1508 9 189 19 494 6 39 1055 43 1 4
698 616 1 70 6 712 5 27 593 28 0 7
838 1603 5 109 15 459 3 24 707 52 0 12
490 822 6 75 9 143 0 11 379 21 1 22
835 1264 4 99 11 618 2 39 793 44 3 24
374 549 1 39 6 294 1 13 403 21 0 3
553 1073 5 76 2 312 4 47 550 27 0 6
288 561 1 83 8 256 3 18 264 19 0 3
656 1253 135 98 11 543 9 19 608 29 0 8
643 1155 1 29 8 643 0 33 667 146 0 6
532 1145 2 26 12 144 1 35 412 34 0 10
583 1479 2 31 12 145 2 24 433 31 1 12
886 795 2 40 6 456 2 42 732 30 0 10
611 826 0 26 4 435 0 47 620 43 0 3
1013 1928 4 68 12 434 3 73 874 85 1 15
796 1675 12 71 12 70 3 47 616 36 0 5
308 430 4 24 5 251 2 14 381 12 0 2
787 1824 5 70 12 444 6 44 774 25 1 26
297 911 0 28 5 22 0 20 463 10 0 4
503 895 3 28 9 251 1 38 576 15 1 4
633 885 7 45 7 181 0 17 634 21 3 11
473 902 7 16 5 16 0 24 502 13 0 7
868 1485 5 56 12 131 0 10 585 23 0 3
831 1416 3 46 20 26 0 24 570 13 0 10
1538 3401 5 323 12 498 1 28 1185 32 0 9
1174 2308 13 100 22 314 4 25 896 17 0 13
1028 1872 10 61 17 156 1 70 743 26 8 11
837 1673 3 75 8 318 4 31 670 23 1 17
1028 1441 11 59 16 512 1 15 765 28 0 12
897 1513 5 61 13 307 3 14 578 11 1 9
660 1270 5 30 13 388 1 11 530 16 0 4
610 754 2 38 16 127 0 8 439 48 1 4
628 980 2 104 9 245 1 13 430 7 0 3
603 1023 3 37 11 249 2 7 527 6 0 5
1289 2100 16 116 11 505 3 48 843 30 0 5
1328 2239 12 130 24 584 4 71 823 39 1 2
1480 2502 19 119 31 670 7 25 1177 31 0 5
2221 2837 4 158 22 1273 10 57 1341 49 1 10
1048 1605 14 83 20 358 3 31 759 14 0 3
1121 3371 14 72 19 426 2 20 1023 32 1 7
