gapdh actb il8 il6 ccl11 col1a1 nanog sox9 eef2 spp1 runx1 pdl1
1423 1690 22 48 18 1198 5 89 1396 62 5 12
1321 3613 15 54 11 560 2 78 967 54 2 24
1004 2874 2 23 15 445 1 141 1048 39 1 22
1343 3880 8 73 7 132 5 111 1443 57 1 19
2499 7441 26 173 20 247 0 316 2662 81 6 71
828 1820 4 42 4 88 3 70 858 22 1 38
1082 1223 8 77 9 312 5 107 1071 35 7 12
1761 2446 10 160 17 1315 4 201 1534 163 2 30
1570 3752 17 38 12 1740 4 88 1274 35 5 20
1078 1343 89 173 3 1081 2 117 1286 81 43 12
1730 1733 19 89 9 753 5 79 1306 121 1 7
1392 2395 34 28 9 490 5 142 983 175 0 22
1521 2018 23 104 19 1191 8 58 1367 68 6 15
1672 1422 16 772 15 994 8 39 1765 58 2 17
1385 1985 19 39 6 964 0 42 818 81 1 13
1132 569 16 112 7 1159 6 39 757 62 1 8
1191 897 14 18 6 1428 4 56 960 31 3 9
909 1528 38 119 12 926 2 22 923 29 1 8
1092 231 118 208 3 31 1 25 1119 41 1 13
726 986 26 161 5 172 1 49 832 32 0 15
1078 1099 19 116 7 743 5 86 1079 413 1 27
1175 1689 164 72 12 1129 3 111 1204 65 3 12
1928 3511 29 195 11 1529 6 113 1629 43 1 27
1432 2953 31 80 8 496 4 86 1360 32 0 30
1518 1375 37 124 43 797 4 84 1607 68 4 11
859 509 100 42 3 1106 2 111 910 56 1 5
1068 1292 4 126 9 758 5 63 890 19 1 10
1392 1616 22 105 10 1229 9 71 1372 64 3 11
1073 793 29 97 12 961 2 73 973 69 0 21
758 460 27 330 11 522 4 46 562 20 0 10
587 571 23 83 20 762 7 64 665 38 6 18
815 720 13 284 5 940 5 54 933 114 4 14
746 836 27 410 5 376 4 60 619 25 3 24
1251 914 446 115 9 497 1 48 1006 28 2 25
1127 1960 245 215 3 512 4 36 1094 17 1 12
763 1002 15 157 14 39 3 22 750 12 2 19
1051 2064 36 54 29 288 0 14 1402 35 54 36
804 794 21 39 11 204 4 57 735 32 1 29
1063 2480 23 141 6 192 2 11 1031 23 2 67
494 459 10 152 11 504 4 45 528 20 7 8
1792 3324 153 587 16 504 4 26 250 38 2 11
822 1437 10 267 3 899 7 77 793 68 6 9
1201 1369 50 39 3 766 5 25 1196 40 3 15
2038 2165 481 437 26 607 11 98 1098 160 0 11
710 848 21 75 5 578 6 54 855 36 3 10
1263 1922 10 28 3 949 7 110 1122 46 5 21
1000 916 331 312 10 489 3 53 891 42 1 18
919 1361 12 22 9 462 0 48 941 66 0 27
1991 1367 209 148 18 52 0 44 1047 39 1 13
885 1519 5 48 5 87 0 30 915 26 0 12
1243 1685 5 135 7 66 0 18 1104 20 1 16
472 630 10 20 9 253 0 25 443 79 1 6
1402 4232 45 71 8 236 0 83 983 90 2 10
1245 416 309 318 22 114 0 37 564 72 8 14
1168 2691 8 17 10 374 1 63 1293 19 1 24
916 1171 12 33 5 356 0 16 725 51 1 13
1108 735 12 44 4 192 1 38 917 20 2 11
941 3540 16 299 28 975 0 32 1000 108 9 14
756 385 6 112 17 522 47 7 278 18 2 12
524 587 7 22 5 459 8 18 396 29 1 9
722 1152 5 25 12 547 29 8 555 103 1 14
392 1163 7 92 5 370 32 13 450 97 0 13
844 1593 22 32 9 162 0 53 959 79 9 21
587 350 6 23 7 510 8 39 485 176 3 11
461 715 5 36 11 296 9 17 246 20 2 4
1131 771 21 192 7 196 0 66 984 70 1 19
